time_milisecc,gx,gy,gz
1421632172881.00,2.9161654,1.2427809,0.38050818
1421632172903.00,3.0344744,1.6659231,0.20144524
1421632172918.00,2.477035,1.7138864,0.23128888
1421632172938.00,1.2950073,0.29630622,0.31655717
1421632172959.00,0.38903484,-0.5467816,0.40822026
1421632172979.00,0.057555705,0.14388953,0.52333194
1421632172998.00,-1.0797062,-0.1396266,0.5009494
1421632173018.00,-1.4634124,-0.4625791,0.09059701
1421632173038.00,-1.7597185,-1.3760124,-0.45725012
1421632173112.00,-2.5303283,-1.8023525,-0.6970659
1421632173112.00,-2.9246929,-2.1775317,-0.71092236
1421632173114.00,-2.8575442,-1.9569006,-1.0338749
1421632173122.00,-3.1975503,-2.1434245,-1.7874309
1421632173138.00,-3.1591797,-1.0413357,-1.6691213
1421632173158.00,-3.0525947,0.09059701,-1.2012132
1421632173179.00,-2.3757799,2.9236262,-0.38050872
1421632173198.00,-1.3035347,1.2395833,-1.5156391
1421632173218.00,-1.644607,-1.7757063,-1.9942056
1421632173238.00,-1.0466652,-2.0037982,-1.2566373
1421632173258.00,-0.48069844,-2.1775317,-0.9358164
1421632173279.00,0.15454803,-2.2425487,-0.66935384
1421632173299.00,0.64164126,-2.5047476,-0.21317007
1421632173318.00,1.3834728,-1.396264,0.19931364
1421632173338.00,2.5580397,0.54678077,0.5201345
1421632173361.00,3.4181805,1.6243548,1.1479201
1421632173428.00,3.2977393,1.9910074,1.1415249
1421632173429.00,-1.0242821,0.99230605,-0.2728579
1421632173429.00,-3.3979301,4.5053473,-0.6810787
1421632173438.00,0.026645726,4.9455433,-0.19291912
1421632173459.00,-0.5936788,2.810646,0.70665836
1421632173478.00,-1.0008333,0.3581254,0.24621111
1421632173498.00,1.1500517,-2.9886436,3.222064
1421632173520.00,0.5947441,0.26326466,1.7053595
1421632173538.00,-0.08633409,0.72158,2.0325756
1421632173559.00,1.5945113,-3.617495,1.7426642
1421632173580.00,4.7472954,-3.448025,0.9869768
1421632173598.00,3.6441407,2.1444898,0.44445896
1421632173619.00,3.4320366,2.8873875,-0.29097724
1421632173639.00,2.7307074,1.4335679,-0.27818742
1421632173658.00,1.619026,0.30270103,0.14602113
1421632173679.00,1.0637182,0.11617721,0.05542411
1421632173699.00,-0.04476614,-0.19931445,0.29524016
1421632173718.00,-0.280319,-0.4156819,0.63631225
