time_milisec,time,P1,P2,P3,P4,P5,P6,P7,P8(kPa),acX,acY,acZ(G),tem(℃),hum(%)
1421109985311,18:46:25.311,17.0,23.8,8.2,25.7,4.8,1.5,13.3,14.3,-1.469,-1.430,-1.366,,
1421109985350,18:46:25.349,24.9,22.0,25.0,22.6,25.8,9.3,13.3,7.9,-1.493,-1.420,-1.361,,
1421109985359,18:46:25.359,17.0,23.8,9.9,33.4,14.4,3.1,13.3,6.3,-1.483,-1.430,-1.366,,
1421109985395,18:46:25.394,31.2,22.0,6.6,42.8,22.6,14.1,20.1,3.2,-1.478,-1.430,-1.371,,
1421109985440,18:46:25.439,24.9,20.3,6.6,42.8,14.4,7.8,16.7,7.9,-1.483,-1.405,-1.366,,
1421109985446,18:46:25.445,24.9,6.7,8.2,27.2,16.0,7.8,11.6,7.9,-1.488,-1.444,-1.371,,
1421109985471,18:46:25.471,24.9,5.0,13.2,25.7,11.2,9.3,11.6,7.9,-1.488,-1.425,-1.371,,
1421109985513,18:46:25.512,23.3,22.0,8.2,25.7,0.0,6.2,13.3,16.0,-1.483,-1.425,-1.366,,
1421109985518,18:46:25.518,21.7,20.3,4.9,19.5,19.3,4.7,13.3,16.0,-1.483,-1.420,-1.366,,
1421109985556,18:46:25.556,24.9,20.3,9.9,30.3,16.0,7.8,13.3,7.9,-1.483,-1.425,-1.366,,
1421109985605,18:46:25.604,21.7,22.0,9.9,27.2,20.9,7.8,5.0,0.0,-1.488,-1.420,-1.361,,
1421109985610,18:46:25.609,23.3,16.9,6.6,25.7,42.5,9.3,13.3,12.7,-1.483,-1.444,-1.376,,
1421109985658,18:46:25.658,23.3,6.7,8.2,28.7,16.0,9.3,13.3,11.1,-1.483,-1.444,-1.371,,
1421109985669,18:46:25.662,18.6,22.0,9.9,27.2,12.8,9.3,11.6,4.7,-1.508,-1.420,-1.361,,
1421109985699,18:46:25.699,21.7,18.6,13.2,24.1,8.0,6.2,13.3,17.5,-1.493,-1.425,-1.371,,
1421109985708,18:46:25.708,21.7,20.3,4.9,19.5,16.0,12.5,0.0,6.3,-1.503,-1.425,-1.366,,
